name	species	genus	family	order	class	phylum	kingdom
Acinonyx jubatus	32536	32535	9681	33554	40674	7711	33208
Felis silvestris	9683	9682	9681	33554	40674	7711	33208
Felis catus	9685	9682	9681	33554	40674	7711	33208
Felis sp.	9687	9682	9681	33554	40674	7711	33208
Felis chaus	61376	9682	9681	33554	40674	7711	33208
Felis margarita	61378	9682	9681	33554	40674	7711	33208
Felis nigripes	61379	9682	9681	33554	40674	7711	33208
Felis sp. NG192	320633	9682	9681	33554	40674	7711	33208
Lynx lynx	13125	13124	9681	33554	40674	7711	33208
Lynx canadensis	61383	13124	9681	33554	40674	7711	33208
Lynx rufus	61384	13124	9681	33554	40674	7711	33208
Lynx pardinus	191816	13124	9681	33554	40674	7711	33208
Prionailurus bengalensis	37029	37028	9681	33554	40674	7711	33208
Prionailurus iriomotensis	37030	37028	9681	33554	40674	7711	33208
Prionailurus rubiginosa	61387	37028	9681	33554	40674	7711	33208
Prionailurus viverrinus	61388	37028	9681	33554	40674	7711	33208
Prionailurus planiceps	61403	37028	9681	33554	40674	7711	33208
Leopardus pardalis	32538	46841	9681	33554	40674	7711	33208
Leopardus tigrinus	46842	46841	9681	33554	40674	7711	33208
Leopardus geoffroyi	46844	46841	9681	33554	40674	7711	33208
Leopardus wiedii	61382	46841	9681	33554	40674	7711	33208
Leopardus guigna	61386	46841	9681	33554	40674	7711	33208
Leopardus colocolo	61406	46841	9681	33554	40674	7711	33208
Leopardus jacobita	713925	46841	9681	33554	40674	7711	33208
Caracal caracal	61394	61393	9681	33554	40674	7711	33208
Herpailurus yaguarondi	61402	61401	9681	33554	40674	7711	33208
Leptailurus serval	61405	61404	9681	33554	40674	7711	33208
Otocolobus manul	61408	61407	9681	33554	40674	7711	33208
Profelis aurata	61412	61411	9681	33554	40674	7711	33208
Catopuma badia	61454	61453	9681	33554	40674	7711	33208
Catopuma temminckii	61455	61453	9681	33554	40674	7711	33208
Puma concolor	9696	146712	9681	33554	40674	7711	33208
Oreailurus jacobita	338155	338154	9681	33554	40674	7711	33208
Panthera leo	9689	9688	9681	33554	40674	7711	33208
Panthera onca	9690	9688	9681	33554	40674	7711	33208
Panthera pardus	9691	9688	9681	33554	40674	7711	33208
Panthera tigris	9694	9688	9681	33554	40674	7711	33208
Uncia uncia	29064	29063	9681	33554	40674	7711	33208
Pardofelis marmorata	61410	61409	9681	33554	40674	7711	33208
Neofelis nebulosa	61452	61451	9681	33554	40674	7711	33208
Neofelis diardi	427616	61451	9681	33554	40674	7711	33208
Smilodon fatalis	13266	13265	9681	33554	40674	7711	33208
Smilodon populator	339609	13265	9681	33554	40674	7711	33208
Miracinonyx trumani	339612	339611	9681	33554	40674	7711	33208
Homotherium serum	339614	339613	9681	33554	40674	7711	33208
Lynx environmental sample	1002257	13124	9681	33554	40674	7711	33208
